JobID,JobFlowID,InstanceCount,MapTaskCount,JobCounter,BlockSize,FileSize,RawCopyIn,Demux,ProcessJob,Merge,RawCopyOut,Job,JobRun
ff3c9f74-1174-4d97-b894-2662cb4796a,j-3LFVJJ5K6D14C,1,4,0,-1,-1,0,0,0,0,0,0,0
ff3c9f74-1174-4d97-b894-2662cb4796a,j-3LFVJJ5K6D14C,1,4,1,4194304,4640417,0,1,52,0,2,57,0
ff3c9f74-1174-4d97-b894-2662cb4796a,j-3LFVJJ5K6D14C,1,4,2,8388608,183374462,6,5,232,2,11,258,0
ff3c9f74-1174-4d97-b894-2662cb4796a,j-3LFVJJ5K6D14C,1,4,3,8388608,237292012,9,6,321,3,16,358,0
ff3c9f74-1174-4d97-b894-2662cb4796a,j-3LFVJJ5K6D14C,1,4,4,8388608,364935418,13,8,588,6,25,644,0
ff3c9f74-1174-4d97-b894-2662cb4796a,j-3LFVJJ5K6D14C,1,4,5,8388608,797857853,29,20,877,15,44,988,0
ff3c9f74-1174-4d97-b894-2662cb4796a,j-3LFVJJ5K6D14C,1,4,6,16777216,1540035256,55,31,919,12,41,1060,0
ff3c9f74-1174-4d97-b894-2662cb4796a,j-3LFVJJ5K6D14C,1,4,7,16777216,6321118503,242,157,4274,69,66,4812,0
ff3c9f74-1174-4d97-b894-2662cb4796a,j-3LFVJJ5K6D14C,1,4,8,25165824,10514761914,364,236,15653,242,257,16755,0
a17b1711-4a5c-4fce-a9f4-40103e804ef,j-3LFVJJ5K6D14C,3,4,0,-1,-1,0,0,0,0,0,0,0
a17b1711-4a5c-4fce-a9f4-40103e804ef,j-3LFVJJ5K6D14C,3,4,1,4194304,4640417,0,0,50,0,2,54,0
a17b1711-4a5c-4fce-a9f4-40103e804ef,j-3LFVJJ5K6D14C,3,4,2,8388608,183374462,7,5,113,3,11,141,0
a17b1711-4a5c-4fce-a9f4-40103e804ef,j-3LFVJJ5K6D14C,3,4,3,8388608,237292012,9,7,146,4,21,190,0
a17b1711-4a5c-4fce-a9f4-40103e804ef,j-3LFVJJ5K6D14C,3,4,4,8388608,364935418,14,9,244,7,24,300,0
a17b1711-4a5c-4fce-a9f4-40103e804ef,j-3LFVJJ5K6D14C,3,4,5,8388608,797857853,28,24,335,16,37,442,0
a17b1711-4a5c-4fce-a9f4-40103e804ef,j-3LFVJJ5K6D14C,3,4,6,16777216,1540035256,53,37,365,13,40,509,0
a17b1711-4a5c-4fce-a9f4-40103e804ef,j-3LFVJJ5K6D14C,3,4,7,16777216,6321118503,213,172,1543,72,99,2101,0
a17b1711-4a5c-4fce-a9f4-40103e804ef,j-3LFVJJ5K6D14C,3,4,8,25165824,10514761914,370,235,5485,251,262,6607,0
26c146ee-9348-4d76-8164-e7eb00a9b39,j-3LFVJJ5K6D14C,5,4,0,-1,-1,0,0,0,0,0,0,0
26c146ee-9348-4d76-8164-e7eb00a9b39,j-3LFVJJ5K6D14C,5,4,1,4194304,4640417,0,0,53,0,2,58,0
26c146ee-9348-4d76-8164-e7eb00a9b39,j-3LFVJJ5K6D14C,5,4,2,8388608,183374462,6,6,93,3,11,121,0
26c146ee-9348-4d76-8164-e7eb00a9b39,j-3LFVJJ5K6D14C,5,4,3,8388608,237292012,8,7,114,4,15,150,0
26c146ee-9348-4d76-8164-e7eb00a9b39,j-3LFVJJ5K6D14C,5,4,4,8388608,364935418,13,10,176,7,24,233,0
26c146ee-9348-4d76-8164-e7eb00a9b39,j-3LFVJJ5K6D14C,5,4,5,8388608,797857853,29,25,227,16,41,341,0
26c146ee-9348-4d76-8164-e7eb00a9b39,j-3LFVJJ5K6D14C,5,4,6,16777216,1540035256,53,40,235,13,39,382,0
