JobID,JobFlowID,InstanceCount,MapTaskCount,JobCounter,BlockSize,FileSize,RawCopyIn,Demux,ProcessJob,Merge,RawCopyOut,Job,JobRun
930e8e90-d7a1-415b-9039-f2fc34de53e,j-1GJ1QA3FB1CQW,1,4,0,-1,-1,0,0,0,0,0,0,0
930e8e90-d7a1-415b-9039-f2fc34de53e,j-1GJ1QA3FB1CQW,1,4,1,4194304,4640417,0,1,52,0,2,57,0
930e8e90-d7a1-415b-9039-f2fc34de53e,j-1GJ1QA3FB1CQW,1,4,2,8388608,183374462,6,10,229,3,11,261,0
930e8e90-d7a1-415b-9039-f2fc34de53e,j-1GJ1QA3FB1CQW,1,4,3,8388608,237292012,8,10,321,5,15,361,0
930e8e90-d7a1-415b-9039-f2fc34de53e,j-1GJ1QA3FB1CQW,1,4,4,8388608,364935418,12,14,567,9,26,630,0
930e8e90-d7a1-415b-9039-f2fc34de53e,j-1GJ1QA3FB1CQW,1,4,5,8388608,797857853,31,34,854,20,40,981,0
930e8e90-d7a1-415b-9039-f2fc34de53e,j-1GJ1QA3FB1CQW,1,4,6,16777216,1540035256,52,51,923,16,42,1087,0
930e8e90-d7a1-415b-9039-f2fc34de53e,j-1GJ1QA3FB1CQW,1,4,7,16777216,6321118503,231,274,4117,85,82,4792,0
930e8e90-d7a1-415b-9039-f2fc34de53e,j-1GJ1QA3FB1CQW,1,4,8,25165824,10514761914,396,366,14932,312,281,16292,0
af5fe64a-cbb5-4a07-b499-2a3b858923c,j-1GJ1QA3FB1CQW,3,4,0,-1,-1,0,0,0,0,0,0,0
af5fe64a-cbb5-4a07-b499-2a3b858923c,j-1GJ1QA3FB1CQW,3,4,1,4194304,4640417,0,1,52,0,2,57,0
af5fe64a-cbb5-4a07-b499-2a3b858923c,j-1GJ1QA3FB1CQW,3,4,2,8388608,183374462,6,8,110,4,11,141,0
af5fe64a-cbb5-4a07-b499-2a3b858923c,j-1GJ1QA3FB1CQW,3,4,3,8388608,237292012,8,10,147,5,17,189,0
af5fe64a-cbb5-4a07-b499-2a3b858923c,j-1GJ1QA3FB1CQW,3,4,4,8388608,364935418,12,15,232,9,24,295,0
af5fe64a-cbb5-4a07-b499-2a3b858923c,j-1GJ1QA3FB1CQW,3,4,5,8388608,797857853,27,34,322,20,44,449,0
af5fe64a-cbb5-4a07-b499-2a3b858923c,j-1GJ1QA3FB1CQW,3,4,6,16777216,1540035256,51,54,347,16,39,509,0
af5fe64a-cbb5-4a07-b499-2a3b858923c,j-1GJ1QA3FB1CQW,3,4,7,16777216,6321118503,234,233,1491,86,58,2107,0
af5fe64a-cbb5-4a07-b499-2a3b858923c,j-1GJ1QA3FB1CQW,3,4,8,25165824,10514761914,356,366,5205,301,268,6501,0
